Names;URL;Author;Price;Number of Ratings;Average Rating
Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo;/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1;Not Available;$12.02;4.9 out of 5 stars;4,814
12 Rules for Life: An Antidote to Chaos;/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1;Jordan B. Peterson;$15.57;4.7 out of 5 stars;1,587
Llama Llama Easter Egg;/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1;Anna Dewdney;$5.99;4.5 out of 5 stars;215
The Don't Laugh Challenge - Easter Edition: Easter Edition - Don't Laugh Challenge: Easter Joke Book for Kids with Knock-Knock Jokes and Riddles Included;/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1;Don't Laugh Joke;$8.03;5.0 out of 5 stars;11
Easter Eggstravaganza Mad Libs;/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1;Roger Price;$4.99;4.6 out of 5 stars;135
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends;/Secret-Empires-American-Political-Corruption/dp/0062569368?_encoding=UTF8&psc=1;Peter Schweizer;$17.39;4.5 out of 5 stars;32
God Gave Us Easter;/Gave-Easter-Lisa-Tawn-Bergren/dp/0307730727?_encoding=UTF8&psc=1;Lisa Tawn Bergren;$8.54;4.6 out of 5 stars;254
A Higher Loyalty: Truth, Lies, and Leadership;/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?_encoding=UTF8&psc=1;Not Available;$15.99;Prime;Not Available
Little Blue Truck's Springtime;/Little-Trucks-Springtime-Alice-Schertle/dp/0544938097?_encoding=UTF8&psc=1;Alice Schertle;$9.32;3.7 out of 5 stars;73
Pete the Cat: Big Easter Adventure;/Pete-Cat-Big-Easter-Adventure/dp/006219867X?_encoding=UTF8&psc=1;James Dean;$7.18;4.6 out of 5 stars;213
Marlon Bundo's Day in the Life of the Vice President;/Marlon-Bundos-Life-Vice-President/dp/1621577767?_encoding=UTF8&psc=1;Charlotte Pence;$12.04;4.5 out of 5 stars;254
Ready Player One: A Novel;/Ready-Player-One-Ernest-Cline/dp/0307887448?_encoding=UTF8&psc=1;Ernest Cline;$8.79;4.6 out of 5 stars;16,415
The Berenstain Bears and the Easter Story: Stickers Included! (Berenstain Bears/Living Lights);/Berenstain-Bears-Easter-Story-Stickers/dp/0310720877?_encoding=UTF8&psc=1;Mike Berenstain;$4.01;4.6 out of 5 stars;344
Player's Handbook (Dungeons & Dragons);/Players-Handbook-Dungeons-Dragons-Wizards/dp/0786965606?_encoding=UTF8&psc=1;Wizards RPG Team;$27.27;4.6 out of 5 stars;2,506
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life;/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?_encoding=UTF8&psc=1;Mark Manson;$14.99;4.4 out of 5 stars;3,272
