Names;URL;Author;Price;Number of Ratings;Average Rating
The Power of your Subconscious Mind;/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1;Joseph Murphy;   98.00;4.5 out of 5 stars;2,898
The Subtle Art of Not Giving a F*ck;/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1;Mark Manson;   340.00;4.3 out of 5 stars;252
Think and Grow Rich;/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1;Napoleon Hill;   75.00;4.5 out of 5 stars;2,416
A Brief History of Time: From Big Bang to Black Holes;/Brief-History-Time-Black-Holes/dp/0553175211?_encoding=UTF8&psc=1;Stephen Hawking;   220.00;4.5 out of 5 stars;527
Indian Polity 5th Edition;/Indian-Polity-5th-M-Laxmikanth/dp/935260363X?_encoding=UTF8&psc=1;M. Laxmikanth;   403.00;4.5 out of 5 stars;1,940
Railway Assistant Loco Pilot and Technician 2018;/Railway-Assistant-Loco-Pilot-Technician/dp/9312147560?_encoding=UTF8&psc=1;Not Available;   160.00;4.0 out of 5 stars;60
Word Power Made Easy;/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1;Norman Lewis;   109.00;4.4 out of 5 stars;4,752
Sapiens;/Sapiens-Yuval-Noah-Harari/dp/0099590085?_encoding=UTF8&psc=1;Yuval Noah Harari;   279.00;4.6 out of 5 stars;901
India 2018;/India-2018-Publication-Division/dp/8123027389?_encoding=UTF8&psc=1;Not Available;   230.00;3.5 out of 5 stars;43
Manorama Yearbook 2018;/Manorama-Yearbook-2018-Mammen-Mathew/dp/9386025426?_encoding=UTF8&psc=1;Mammen Mathew;   195.00;4.1 out of 5 stars;142
RRB Group D Guide 2018;/RRB-Group-D-Guide-2018/dp/9312147889?_encoding=UTF8&psc=1;Not Available;   203.00;4.1 out of 5 stars;44
General Knowledge 2019;/General-Knowledge-2019-Manohar-Pandey/dp/9312147307?_encoding=UTF8&psc=1;Manohar Pandey;   25.00;4.2 out of 5 stars;43
A Century is not Enough: My Roller-coaster Ride to Success;/Century-not-Enough-Roller-coaster-Success/dp/9386228564?_encoding=UTF8&psc=1;Not Available;   394.00;4.6 out of 5 stars;111
